Bundle report (raw filesystem bytes; sorted by size descending, then filename)
Assets directory: dist/assets

Entrypoints
- modern: index-Cc-K3rHU.js = 323.11 KiB
- legacy: index-legacy-CumbyAwY.js = 458.57 KiB

JavaScript chunks
target	size	file
legacy	996.19 KiB	github.min-legacy-mA468bxD.js
modern	891.05 KiB	github.min-yEsRrdW8.js
legacy	705.02 KiB	chunk-FOHPRMQF-legacy-h03jXLHY.js
modern	648.38 KiB	chunk-FOHPRMQF-BYShhrbZ.js
legacy	458.57 KiB	index-legacy-CumbyAwY.js
legacy	457.51 KiB	MarkdownRenderer-legacy-CYGmXZIg.js
modern	425.63 KiB	cytoscape.esm-BJje7HrP.js
legacy	424.66 KiB	cytoscape.esm-legacy-DxkKFpgI.js
modern	364.76 KiB	MarkdownRenderer-CqiwdXeC.js
modern	323.11 KiB	index-Cc-K3rHU.js
legacy	270.28 KiB	SettingsPanel-legacy-CVO6u-S0.js
modern	264.43 KiB	SettingsPanel-ggzPvI6u.js
legacy	258.46 KiB	dialog-legacy-C1MuClPA.js
legacy	257.83 KiB	katex-legacy-fprsfQtF.js
modern	253.22 KiB	katex-DOAytfpt.js
modern	247.53 KiB	dialog-oYcHLh6c.js
legacy	245.96 KiB	chunk-DU6HZSFF-legacy-BB62GKkm.js
modern	230.30 KiB	chunk-DU6HZSFF-Tntu1Oso.js
legacy	146.37 KiB	architectureDiagram-5GKGNRK7-legacy-B5aY145E.js
modern	145.86 KiB	architectureDiagram-5GKGNRK7-W0esV_9b.js
legacy	141.07 KiB	polyfills-legacy-B-JJ1mGD.js
modern	136.66 KiB	react-vendor-CHYN9Wco.js
legacy	136.32 KiB	react-vendor-legacy-BywmOWj7.js
legacy	123.54 KiB	swimlanes-XN3QIQJK-legacy-Cc-5wIY4.js
legacy	115.78 KiB	chunk-TEH6E4GO-legacy-BV3nGdGN.js
legacy	114.84 KiB	sequenceDiagram-WJ2MYXX4-legacy-fqg6LSmQ.js
modern	113.18 KiB	sequenceDiagram-WJ2MYXX4-D5TjgnFJ.js
modern	108.58 KiB	swimlanes-XN3QIQJK-CV7OJne7.js
modern	102.45 KiB	chunk-TEH6E4GO-D-OCFGYS.js
legacy	92.08 KiB	chunk-GMAD6QVW-legacy-BFNp2XjQ.js
modern	79.55 KiB	cose-bilkent-JH36ORCC-B1Cb5yh8.js
legacy	79.39 KiB	cose-bilkent-JH36ORCC-legacy-CYFcRAIP.js
legacy	73.52 KiB	ReleaseTimeline-legacy-DObi-9NY.js
modern	71.87 KiB	ReleaseTimeline-DMxqrLCB.js
legacy	70.19 KiB	ganttDiagram-EL5Y4UJY-legacy-B_uoVxqK.js
modern	67.82 KiB	ganttDiagram-EL5Y4UJY-BEJFl9BQ.js
legacy	64.14 KiB	c4Diagram-UCG6FXSJ-legacy-BJtwgWKR.js
modern	63.25 KiB	c4Diagram-UCG6FXSJ-J4iIfuMO.js
modern	62.10 KiB	polyfills-DLjr_uJY.js
legacy	61.15 KiB	chunk-RHFEMEQ7-legacy-CeY4RDyO.js
legacy	60.93 KiB	aiService-legacy-B2hr_AyG.js
modern	59.87 KiB	chunk-RHFEMEQ7-BD3vzULN.js
legacy	59.24 KiB	DiscoveryView-legacy-wlMUKRIM.js
modern	59.12 KiB	aiService-NIZMckAN.js
modern	57.08 KiB	DiscoveryView-Cw5vgOxC.js
modern	51.10 KiB	chunk-GMAD6QVW-Crq38eHz.js
legacy	48.07 KiB	chunk-LCL6LL3I-legacy-2KVwDyXo.js
