Bundle report (raw filesystem bytes; sorted by size descending, then filename)
Assets directory: dist/assets

Entrypoints
- modern: index-Cpvw5u4Y.js = 2398.64 KiB
- legacy: index-legacy-BsslAApy.js = 2762.40 KiB

JavaScript chunks
target	size	file
legacy	2762.40 KiB	index-legacy-BsslAApy.js
modern	2398.64 KiB	index-Cpvw5u4Y.js
legacy	705.01 KiB	chunk-FOHPRMQF-legacy-BY5wONlH.js
modern	648.37 KiB	chunk-FOHPRMQF-uXoJAdyA.js
modern	425.63 KiB	cytoscape.esm-DqYS2jhl.js
legacy	424.66 KiB	cytoscape.esm-legacy-oVvCIb9x.js
legacy	257.83 KiB	katex-legacy-BxR_6MIC.js
modern	253.22 KiB	katex-DvTry3m9.js
legacy	245.96 KiB	chunk-DU6HZSFF-legacy-KtfYClOJ.js
modern	230.30 KiB	chunk-DU6HZSFF-4trzn5to.js
legacy	146.37 KiB	architectureDiagram-5GKGNRK7-legacy-BAhEExdO.js
modern	145.86 KiB	architectureDiagram-5GKGNRK7-D-KYb5EO.js
legacy	141.07 KiB	polyfills-legacy-BIhP41hY.js
modern	136.66 KiB	react-vendor-CyALgW-r.js
legacy	136.32 KiB	react-vendor-legacy-Cm1JGiZW.js
legacy	123.54 KiB	swimlanes-XN3QIQJK-legacy-CpHc5e1Q.js
legacy	115.78 KiB	chunk-TEH6E4GO-legacy-C6ZbUcj1.js
legacy	114.84 KiB	sequenceDiagram-WJ2MYXX4-legacy-DTPEB0rX.js
modern	113.18 KiB	sequenceDiagram-WJ2MYXX4-DXT52DoJ.js
modern	108.58 KiB	swimlanes-XN3QIQJK-Bwtj0Rle.js
modern	102.45 KiB	chunk-TEH6E4GO-CkL0iAKU.js
legacy	92.07 KiB	chunk-GMAD6QVW-legacy-D5ztVPdo.js
modern	79.55 KiB	cose-bilkent-JH36ORCC-DvPSESu6.js
legacy	79.39 KiB	cose-bilkent-JH36ORCC-legacy-D5VC0t0O.js
legacy	70.19 KiB	ganttDiagram-EL5Y4UJY-legacy-DLzxbJZD.js
modern	67.82 KiB	ganttDiagram-EL5Y4UJY-Bdx2Kp2L.js
legacy	64.14 KiB	c4Diagram-UCG6FXSJ-legacy-ByIRE_NQ.js
modern	63.25 KiB	c4Diagram-UCG6FXSJ-DsPFZYwG.js
modern	62.10 KiB	polyfills-Cz5xHDAO.js
legacy	61.15 KiB	chunk-RHFEMEQ7-legacy-CSViKpU1.js
modern	59.87 KiB	chunk-RHFEMEQ7-Dbl2qvBH.js
modern	51.09 KiB	chunk-GMAD6QVW-DKh1j6hV.js
legacy	48.07 KiB	chunk-LCL6LL3I-legacy-3-1rT7CN.js
modern	47.72 KiB	chunk-LCL6LL3I-B-LxIz6J.js
legacy	45.65 KiB	chunk-LNGE3PJU-legacy-BOUCqFmm.js
legacy	45.58 KiB	src-legacy-D2NO7TQv.js
modern	45.33 KiB	chunk-LNGE3PJU-BCv6fg5M.js
modern	44.70 KiB	src-8zZ8Udid.js
legacy	43.58 KiB	xychartDiagram-S5SC5T6Z-legacy-CLMiGJys.js
modern	43.17 KiB	xychartDiagram-S5SC5T6Z-xr8Jw-_d.js
legacy	42.26 KiB	blockDiagram-NRAW4CY4-legacy-BiJFfkix.js
legacy	41.68 KiB	vennDiagram-4TSXK5OY-legacy-CeklWWxp.js
modern	40.52 KiB	blockDiagram-NRAW4CY4-DE5qBpg8.js
modern	40.25 KiB	vennDiagram-4TSXK5OY-IpBPLW4d.js
legacy	37.66 KiB	chunk-G27WJ6UU-legacy-Ckxd8EeC.js
modern	36.84 KiB	chunk-G27WJ6UU-D8nDw-ls.js
modern	36.25 KiB	mermaid.core-DpwSDVNm.js
